Hostname,Status
192.168.81.1,Online
192.168.81.10,Online
192.168.81.12,Online
192.168.81.13,Online
192.168.81.14,Online
192.168.81.20,Online
192.168.81.21,Online
192.168.81.31,Online
192.168.81.32,Online
192.168.81.34,Online
192.168.81.39,Online
192.168.81.42,Online
192.168.81.50,Online
192.168.81.44,Online
192.168.81.100,Online
192.168.81.128,Online
192.168.81.129,Online
192.168.81.201,Online
192.168.81.200,Online
192.168.81.210,Online
192.168.81.211,Online
192.168.81.4,Offline
192.168.81.3,Offline
192.168.81.5,Offline
192.168.81.2,Offline
192.168.81.6,Offline
192.168.81.8,Offline
192.168.81.9,Offline
192.168.81.11,Offline
192.168.81.7,Offline
192.168.81.15,Offline
192.168.81.18,Offline
192.168.81.16,Offline
192.168.81.17,Offline
192.168.81.24,Offline
192.168.81.19,Offline
192.168.81.25,Offline
192.168.81.23,Offline
192.168.81.22,Offline
192.168.81.26,Offline
192.168.81.27,Offline
192.168.81.28,Offline
192.168.81.30,Offline
192.168.81.29,Offline
192.168.81.33,Offline
192.168.81.35,Offline
192.168.81.38,Offline
192.168.81.36,Offline
192.168.81.37,Offline
192.168.81.40,Offline
192.168.81.41,Offline
192.168.81.45,Offline
192.168.81.43,Offline
192.168.81.47,Offline
192.168.81.46,Offline
192.168.81.48,Offline
192.168.81.49,Offline
192.168.81.52,Offline
192.168.81.53,Offline
192.168.81.51,Offline
192.168.81.54,Offline
192.168.81.56,Offline
192.168.81.55,Offline
192.168.81.57,Offline
192.168.81.58,Offline
192.168.81.59,Offline
192.168.81.61,Offline
192.168.81.60,Offline
192.168.81.63,Offline
192.168.81.64,Offline
192.168.81.65,Offline
192.168.81.67,Offline
192.168.81.62,Offline
192.168.81.68,Offline
192.168.81.69,Offline
192.168.81.73,Offline
192.168.81.70,Offline
192.168.81.71,Offline
192.168.81.66,Offline
192.168.81.74,Offline
192.168.81.75,Offline
192.168.81.72,Offline
192.168.81.76,Offline
192.168.81.78,Offline
192.168.81.79,Offline
192.168.81.80,Offline
192.168.81.81,Offline
192.168.81.77,Offline
192.168.81.82,Offline
192.168.81.84,Offline
192.168.81.83,Offline
192.168.81.88,Offline
192.168.81.91,Offline
192.168.81.86,Offline
192.168.81.90,Offline
192.168.81.85,Offline
192.168.81.87,Offline
192.168.81.89,Offline
192.168.81.92,Offline
192.168.81.93,Offline
192.168.81.94,Offline
192.168.81.96,Offline
192.168.81.95,Offline
192.168.81.97,Offline
192.168.81.101,Offline
192.168.81.98,Offline
192.168.81.99,Offline
192.168.81.103,Offline
192.168.81.102,Offline
192.168.81.104,Offline
192.168.81.106,Offline
192.168.81.107,Offline
192.168.81.105,Offline
192.168.81.109,Offline
192.168.81.108,Offline
192.168.81.110,Offline
192.168.81.111,Offline
192.168.81.112,Offline
